23;23;23;23;23;23;23;81;82;83;23;23;25;23;23;23;23
23;10;12;12;12;12;12;84;90;96;12;12;12;12;12;11;23
23;8;2'103'116;3;2'105'SPEED_UP;3;2'105'SPEED_UP;87;2'EXIT;99;2'105;3;2'105'BOMB_UP;3;2'103'116;5;23
23;8;1;2'105;1;2;1'105;2;2'105;2;1;2'105;1;2;1;5;23
25;8;1;3;1;3;1;3;1;3;1'105;3;1'105;3;1'105;5;23
26;8;1'105;2;1'105;2'105;1;2;1'105;2;1;2'105'FLAME_UP;1;2;1;5;23
23;8;1;3;1;3;1;3;1'105'FLAME_UP;3;1;3;1'105;3;1'105;5;25
23;8;1;2;1'105;2;1'105'BOMB_UP;2;1'117;2;1'105;2;1'105;2;1;5;26
25;8;1;3;1;3;1'105;3;1;3;1;3;1;3;1;5;23
26;8;1'105;2'105;1;2'105;1;2'105;1;2;1;2;1'105;2'105'FLAME_UP;1'105;5;23
23;8;1;3;1'105'BOMB_UP;3;1;3;1'105;3;1'105;3;1;3;1;5;23
44;59;1'111;2;1'105;2;1'105;2;1;2;1;2'105;1;2;1'103'115;56;50
45;60;17;15;17;17;15;17;17;17;15;17;17;15;17;57;51
